v-sweep,v(vout),i(vout),v(v1),v(v2)
0.31,1,-0.000000468909263,0.31,0.5
0.311,1,-0.000000468786219,0.311,0.5
0.312,1,-0.000000468659856,0.312,0.5
0.313,1,-0.000000468530196,0.313,0.5
0.314,1,-0.000000468397005,0.314,0.5
0.315,1,-0.000000468260332,0.315,0.5
0.316,1,-0.000000468119943,0.316,0.5
0.317,1,-0.00000046797588,0.317,0.5
0.318,1,-0.000000467827874,0.318,0.5
0.319,1,-0.000000467676031,0.319,0.5
0.32,1,-0.000000467520117,0.32,0.5
0.321,1,-0.000000467360046,0.321,0.5
0.322,1,-0.000000467195768,0.322,0.5
0.323,1,-0.000000467027071,0.323,0.5
0.324,1,-0.000000466853884,0.324,0.5
0.325,1,-0.000000466676163,0.325,0.5
0.326,1,-0.000000466493681,0.326,0.5
0.327,1,-0.000000466306361,0.327,0.5
0.328,1,-0.000000466114066,0.328,0.5
0.329,1,-0.000000465916685,0.329,0.5
0.33,1,-0.000000465714074,0.33,0.5
0.331,1,-0.000000465506091,0.331,0.5
0.332,1,-0.000000465292608,0.332,0.5
0.333,1,-0.000000465073498,0.333,0.5
0.334,1,-0.000000464848618,0.334,0.5
0.335,1,-0.000000464617749,0.335,0.5
0.336,1,-0.000000464380733,0.336,0.5
0.337,1,-0.000000464137571,0.337,0.5
0.338,1,-0.000000463887957,0.338,0.5
0.339,1,-0.000000463631771,0.339,0.5
0.34,1,-0.000000463368849,0.34,0.5
0.341,1,-0.000000463098907,0.341,0.5
0.342,1,-0.000000462821951,0.342,0.5
0.343,1,-0.000000462537699,0.343,0.5
0.344,1,-0.000000462246,0.344,0.5
0.345,1,-0.000000461946634,0.345,0.5
0.346,1,-0.000000461639381,0.346,0.5
0.347,1,-0.000000461324063,0.347,0.5
0.348,1,-0.000000461000539,0.348,0.5
0.349,1,-0.000000460668488,0.349,0.5
0.35,1,-0.000000460327762,0.35,0.5
0.351,1,-0.000000459978104,0.351,0.5
0.352,1,-0.000000459619315,0.352,0.5
0.353,1,-0.00000045925119,0.353,0.5
0.354,1,-0.00000045887343,0.354,0.5
0.355,1,-0.00000045848585,0.355,0.5
0.356,1,-0.000000458088152,0.356,0.5
0.357,1,-0.000000457680109,0.357,0.5
0.358,1,-0.00000045726145,0.358,0.5
0.359,1,-0.000000456831927,0.359,0.5
0.36,1,-0.000000456391248,0.36,0.5
0.361,1,-0.00000045593913,0.361,0.5
0.362,1,-0.000000455475281,0.362,0.5
0.363,1,-0.000000454999437,0.363,0.5
0.364,1,-0.000000454511252,0.364,0.5
0.365,1,-0.000000454010504,0.365,0.5
0.366,1,-0.00000045349681,0.366,0.5
0.367,1,-0.000000452969836,0.367,0.5
0.368,1,-0.000000452429276,0.368,0.5
0.369,1,-0.000000451874818,0.369,0.5
0.37,1,-0.000000451306114,0.37,0.5
0.371,1,-0.00000045072278,0.371,0.5
0.372,1,-0.000000450124489,0.372,0.5
0.373,1,-0.000000449510885,0.373,0.5
0.374,1,-0.000000448881536,0.374,0.5
0.375,1,-0.000000448236094,0.375,0.5
0.376,1,-0.000000447574173,0.376,0.5
0.377,1,-0.000000446895406,0.377,0.5
0.378,1,-0.000000446199287,0.378,0.5
0.379,1,-0.000000445485476,0.379,0.5
0.38,1,-0.000000444753468,0.38,0.5
0.381,1,-0.000000444002929,0.381,0.5
0.382,1,-0.00000044323334,0.382,0.5
0.383,1,-0.000000442444332,0.383,0.5
0.384,1,-0.000000441635322,0.384,0.5
0.385,1,-0.000000440805898,0.385,0.5
0.386,1,-0.000000439955535,0.386,0.5
0.387,1,-0.000000439083777,0.387,0.5
0.388,1,-0.000000438190071,0.388,0.5
0.389,1,-0.000000437274004,0.389,0.5
0.39,1,-0.00000043633495,0.39,0.5
0.391,1,-0.000000435372385,0.391,0.5
