 frequency       db(v(vout))     180*cph(v(vout))/pi
 1.25892541e+05 -1.47365224e-01 -1.04989511e+01 
 1.41253754e+05 -1.82086010e-01 -1.17496059e+01 
 1.58489319e+05 -2.25406084e-01 -1.31407796e+01 
 1.77827941e+05 -2.79335862e-01 -1.46849748e+01 
 1.99526231e+05 -3.46291391e-01 -1.63945490e+01 
 2.23872114e+05 -4.29142521e-01 -1.82811767e+01 
 2.51188643e+05 -5.31248910e-01 -2.03551352e+01 
 2.81838293e+05 -6.56473220e-01 -2.26244077e+01 
 3.16227766e+05 -8.09157764e-01 -2.50936200e+01 
 3.54813389e+05 -9.94049428e-01 -2.77628690e+01 
 3.98107171e+05 -1.21615901e+00 -3.06265586e+01 
 4.46683592e+05 -1.48054656e+00 -3.36724128e+01 
 5.01187234e+05 -1.79203658e+00 -3.68808906e+01 
 5.62341325e+05 -2.15488318e+00 -4.02252262e+01 
 6.30957344e+05 -2.57242427e+00 -4.36722709e+01 
 7.07945784e+05 -3.04677750e+00 -4.71841792e+01 
 7.94328235e+05 -3.57863316e+00 -5.07208058e+01 
 8.91250938e+05 -4.16718575e+00 -5.42425025e+01 
 1.00000000e+06 -4.81021887e+00 -5.77129000e+01 
 1.12201845e+06 -5.50432573e+00 -6.11012609e+01 
 1.25892541e+06 -6.24522163e+00 -6.43841130e+01 
 1.41253754e+06 -7.02809325e+00 -6.75460439e+01 
 1.58489319e+06 -7.84793251e+00 -7.05797217e+01 
 1.77827941e+06 -8.69981833e+00 -7.34853202e+01 
 1.99526231e+06 -9.57912775e+00 -7.62695844e+01 
 2.23872114e+06 -1.04816746e+01 -7.89447512e+01 
 2.51188643e+06 -1.14037848e+01 -8.15274991e+01 
 2.81838293e+06 -1.23423236e+01 -8.40380355e+01 
 3.16227766e+06 -1.32946890e+01 -8.64993833e+01 
 3.54813389e+06 -1.42587872e+01 -8.89368875e+01 
 3.98107171e+06 -1.52330005e+01 -9.13779397e+01 
 4.46683592e+06 -1.62161569e+01 -9.38519136e+01 
 5.01187234e+06 -1.72075087e+01 -9.63903019e+01 
 5.62341325e+06 -1.82067270e+01 -9.90270563e+01 
 6.30957344e+06 -1.92139207e+01 -1.01799141e+02 
 7.07945784e+06 -2.02296919e+01 -1.04747327e+02 
 7.94328235e+06 -2.12552476e+01 -1.07917244e+02 
