frequency,db(v(vout)),180*cph(v(vout))/pi
56234132.5,-50.4160016,-291.150472
63095734.4,-52.7452393,-318.544935
70794578.4,-54.4605691,-342.43831
79432823.5,-55.8668915,-359.909584
89125093.8,-57.2304438,-370.336863
100000000,-58.5604454,-374.025247
112201845,-59.6347516,-371.800526
125892541,-60.1619938,-365.713634
141253754,-60.0631966,-358.85119
158489319,-59.5468221,-353.47643
177827941,-58.8786782,-350.140011
199526231,-58.2224224,-348.455289
223872114,-57.6448914,-347.878372
251188643,-57.1616463,-347.981276
281838293,-56.7672097,-348.476499
316227766,-56.4493497,-349.181642
354813389,-56.194932,-349.983734
398107171,-55.9920404,-350.813879
446683592,-55.8305634,-351.630875
501187234,-55.7021871,-352.410902
562341325,-55.6001854,-353.141061
630957344,-55.5191636,-353.815296
707945784,-55.4548149,-354.431806
794328235,-55.4037106,-354.991382
891250938,-55.363124,-355.496344
1000000000,-55.3308891,-355.949845
1122018450,-55.3052853,-356.35543
1258925410,-55.2849463,-356.716752
1412537540,-55.268787,-357.037393
1584893190,-55.2559454,-357.320756
1778279410,-55.2457367,-357.570003
1995262310,-55.2376168,-357.78802
2238721140,-55.2311528,-357.977401
2511886430,-55.2260002,-358.14045
2818382930,-55.2218845,-358.279184
3162277660,-55.2185864,-358.395337
3548133890,-55.2159301,-358.490379
3981071710,-55.2137743,-358.565518
4466835920,-55.212004,-358.621717
5011872340,-55.210525,-358.659696
5623413250,-55.2092586,-358.679943
6309573440,-55.2081372,-358.682718
7079457840,-55.2071012,-358.668053
7943282350,-55.2060955,-358.635754
8912509380,-55.2050665,-358.585397
10000000000,-55.2039595,-358.516325
11220184500,-55.2027158,-358.427638
12589254100,-55.2012694,-358.318187
14125375400,-55.1995435,-358.186556
15848931900,-55.1974469,-358.031054
17782794100,-55.1948688,-357.849694
19952623100,-55.1916735,-357.64018
22387211400,-55.1876931,-357.399887
25118864300,-55.1827193,-357.125843
28183829300,-55.1764931,-356.81472
31622776600,-55.1686921,-356.462819
35481338900,-55.1589153,-356.066078
39810717100,-55.1466651,-355.62008
44668359200,-55.1313248,-355.120093
50118723400,-55.1121339,-354.561138
56234132500,-55.0881582,-353.938097
63095734400,-55.0582583,-353.245888
70794578400,-55.0210547,-352.479712
79432823500,-54.9748949,-351.635405
89125093800,-54.9178253,-350.709919
100000000000,-54.8475743,-349.701938
112201845000,-54.7615583,-348.612656
125892541000,-54.6569207,-347.446691
141253754000,-54.5306214,-346.213093
158489319000,-54.3795897,-344.926324
177827941000,-54.2009531,-343.607048
199526231000,-53.9923405,-342.282479
223872114000,-53.7522405,-340.986005
251188643000,-53.4803703,-339.755843
281838293000,-53.1779848,-338.632608
316227766000,-52.8480449,-337.655939
354813389000,-52.4951717,-336.86063
398107171000,-52.1253543,-336.272968
446683592000,-51.745442,-335.908049
501187234000,-51.3625098,-335.768686
562341325000,-50.9832248,-335.846079
630957344000,-50.6133339,-336.122011
707945784000,-50.2573525,-336.571956
794328235000,-49.918472,-337.168372
891250938000,-49.5986537,-337.883593
1000000000000,-49.2988464,-338.691925
